hour,plug,value
169,5,4713.18699999996
169,6,3657.5229999999992
169,7,36964.38800000008
169,9,5147.932000000034
169,11,33886.01700000005
170,3,8.652
170,5,4802.80199999996
170,6,3730.849000000003
170,7,37649.599000000046
170,9,6123.241000000035
170,11,34339.72000000006
171,3,7.286
171,5,4811.676999999962
171,6,3742.842999999996
171,7,37638.60699999995
171,9,2919.524000000026
171,11,34609.12500000003
172,3,9.94
172,5,4835.015999999959
172,6,3743.4239999999977
172,7,38116.15899999999
172,9,2925.94700000002
172,11,35035.07700000004
173,3,10.718
173,5,4787.858999999951
173,6,3726.513999999999
173,7,38447.008000000096
173,9,2924.5700000000234
173,11,35358.515000000116
174,3,8.050999999999998
174,5,4761.974999999952
174,6,3709.974
174,7,38794.00100000007
174,9,2923.818000000025
174,11,35483.37400000009
175,3,6.2250000000000005
175,5,4770.994999999951
175,6,3707.706000000003
175,7,38410.62099999998
175,9,2920.198000000034
175,11,35162.48700000009
176,3,6.225
176,5,4807.066999999957
176,6,3746.4350000000063
176,7,37913.579999999936
176,9,2924.7220000000316
176,11,34553.800000000054
177,3,3.003
177,5,4794.345999999952
177,6,3723.9090000000037
177,7,37600.27800000006
177,9,2917.661000000032
177,11,34474.29200000004
178,3,4.189
178,5,4866.049999999963
178,6,3768.0330000000035
178,7,37533.33299999998
178,9,2922.1510000000217
178,11,34424.722
179,3,1.282
179,5,4814.339999999958
179,6,3754.471
179,7,37608.658000000054
179,9,2922.8200000000293
179,11,34416.57800000008
180,3,4.9799999999999995
180,5,4644.150999999968
180,6,3614.312000000003
180,7,37212.97399999992
180,9,2924.4550000000268
180,11,33900.56600000001
181,3,3.1450000000000005
181,5,4701.78099999996
181,6,3666.4509999999977
181,7,37684.947000000015
181,9,2925.203000000027
181,11,34605.34400000004
182,3,3.7450000000000006
182,5,4821.483999999966
182,6,3771.5930000000044
182,7,38473.299000000006
182,9,2920.4880000000303
182,11,35262.66500000005
183,3,2.42
183,5,4734.354999999955
183,6,3680.1440000000002
183,7,37545.27199999998
183,9,2917.008000000027
183,11,34363.731000000036
184,3,6.5729999999999995
184,5,4633.602999999953
184,6,3610.075000000002
184,7,37688.9720000001
